cell_id,x_m,y_m,z_m,span_x_m,span_y_m,span_z_m
8657087,0.1425683469,0.01002486851,0.07860000283,0.001016974449,0.0001243511215,0.001000002027
16521463,0.01357032117,0.1154770568,-0.02779142521,0.001067169011,0.001014567912,0.000945430249
16521464,0.01562677361,0.1146492198,-0.0304240834,0.001099959016,0.0009676069021,0.001055408269
8657233,0.1429708153,0.01480221357,0.1624334216,0.0001535415649,0.002335148863,0.001083537936
8657235,0.1393962502,0.002081016032,0.1585996091,0.001018702984,0.0001406918745,0.001001432538
16521617,0.01839155592,0.1101878777,-0.1002456993,0.001011937857,0.001276820898,0.001186288893
17832394,-0.1425944,0.03632327169,-0.01255926155,0.001045197248,0.0001163780689,0.0009459601715
17832419,-0.1734409034,0.03765180185,-0.01202267725,0.001041948795,0.0009001009166,0.0001136101782
17832732,-0.1755286574,0.03242458701,-0.06043651402,0.0001433193684,0.001034621149,0.001053135842
16522057,0.04703217149,0.124593915,-0.05440622345,0.0001587420702,0.001583106816,0.001583341509
16522059,0.04496854022,0.1216338262,-0.05136562511,0.000154606998,0.001594625413,0.001594696194
16522060,0.04703426734,0.1218320951,-0.05016630441,0.000171110034,0.001773260534,0.001773562282
16522061,0.04496777654,0.1206224591,-0.05037350059,0.0001587793231,0.001455403864,0.001456938684
16522066,0.04703194201,0.1295632362,-0.05943698287,0.0001570172608,0.001549035311,0.001549124718
16522088,0.0474841252,0.1425484568,-0.05831649229,0.000898912549,0.001276984811,0.001276925206
16522094,0.04451279566,0.1425449908,-0.0583160907,0.0009014122188,0.001273244619,0.001273341477
16522095,0.04497793317,0.138596952,-0.05818228945,0.000110603869,0.001227915287,0.001202810556
8657777,0.1464793384,0.01002068166,0.07659999877,0.0009693950415,0.0001034373417,0.001000002027
17832819,-0.1725490928,0.03142245561,-0.06402448565,0.001092761755,0.001022066921,0.0001223757863
17832821,-0.1635727197,0.03140619583,-0.06402336955,0.000958070159,0.001016540453,0.0001168325543
16522101,0.04702206627,0.138597548,-0.05818206444,0.0001105107367,0.001227900386,0.001202981919
16522418,0.01354256682,0.1093301609,-0.03952937797,0.001070347615,0.001433841884,0.0005005821586
17833141,-0.1840243876,0.02344185151,-0.06041036621,0.0001218616962,0.00101351738,0.001010686159
16522423,0.01060111206,0.1094392404,-0.03162367754,0.001008220948,0.001214310527,0.001300217584
16522430,0.01251025703,0.106473206,-0.03876958564,0.0009637949988,0.0008535832167,0.0003332383931
16522433,0.01052415495,0.1076196954,-0.03345711033,0.0009690746665,0.00131213665,0.00131155923
8658280,0.1435961396,0.01001850031,0.07659999877,0.001035004854,9.251758456e-05,0.001000002027
8658319,0.14357557,0.03239351511,0.04202381149,0.001019477844,0.0009930320084,0.000119023025
16522640,0.03459973559,0.110520114,-0.03985131606,0.00100011006,0.0008079335093,0.000313360244
8658323,0.1445888132,0.03337623775,0.04202487618,0.001011922956,0.0009714886546,0.0001243427396
8658326,0.1435776651,0.02760038748,0.04202340096,0.001019999385,0.0009999871254,0.0001169703901
8658340,0.144596833,0.02660136893,0.0420227766,0.00102224946,0.00100008212,0.0001138597727
4464315,-0.1794225425,0.02627486698,0.2006000042,0.0009702444077,0.0001256819814,0.001000002027
17833662,-0.1713059664,0.03632290512,-0.02753488459,0.001225814223,0.0001191757619,0.001140478998
16522988,0.01450509466,0.1205635816,-0.03634439781,0.00104479678,0.001199431717,0.001108910888
15736693,0.0009876246913,0.005790201854,-0.001280357537,6.186420796e-05,0.0005091265775,0.0005069596809
15736694,0.0009876241558,0.005282227509,-0.001789341657,6.186618702e-05,0.0005059605464,0.0005101406714
16523371,0.04497510344,0.1227298975,-0.04240447953,0.0001207739115,0.001168362796,0.001179192215
16523372,0.0470251821,0.1227370054,-0.04241026118,0.0001207254827,0.001172430813,0.001174874604
8659084,0.1554005861,0.03744033128,0.2299728811,0.0009994208813,0.0009672641754,0.000135615468
15737184,-0.0009876222583,0.005790172797,-0.001280605677,6.186531391e-05,0.0005091479979,0.0005070765037
15737185,-0.0009876226075,0.005282165296,-0.0017896045,6.18629856e-05,0.0005059852265,0.0005100452108
8921532,0.1495000049,0.03980968473,0.1294999942,0.001000002027,3.761425614e-05,0.001000002027
16785915,0.1379764825,0.09549612701,-0.0383758828,0.0001175999641,0.001114934683,0.001365050673
16523871,0.0112569537,0.1173693553,-0.02966492325,0.001162930392,0.0009872540832,0.0009044408798
16523932,0.01748227794,0.1177665107,-0.08835644027,0.001004431397,0.001490645111,0.001399002969
16523933,0.01840188131,0.1165077761,-0.08960702121,0.001014290377,0.001693286002,0.001693271101
16523991,0.01052748356,0.07261411846,-0.1335070193,0.0009804731235,0.00109488517,0.001170620322
16524006,0.01838524975,0.07367374301,-0.1324749857,0.001027403399,0.0008904114366,0.0009623467922
16524007,0.0173968453,0.07262778729,-0.1334803015,0.001014159992,0.001143403351,0.001201689243
16524011,0.01051529441,0.08346291333,-0.1226629138,0.0009608063847,0.001071259379,0.001000002027
16524012,0.01051535215,0.08566089869,-0.1204608977,0.0009608520195,0.001000002027,0.001081340015
16524016,0.01051530316,0.08166292757,-0.1244628996,0.0009608194232,0.001000009477,0.001071274281
16524059,0.0105152877,0.09046092182,-0.1156609029,0.0009607924148,0.001081250608,0.001000002027
16524068,0.01051530428,0.1006629288,-0.1054629132,0.0009608110413,0.000999994576,0.001071222126
16524072,0.01051534899,0.1024629369,-0.1036629394,0.0009608510882,0.00107114017,0.001000002027
16524075,0.01051534954,0.09666294158,-0.1094629347,0.0009608510882,0.001000002027,0.00107114017
